;Plateforme;Proposition de feu signalétique;Localisation;"
Données recueillies et 
Politique de confidentialité 
";Conditions d'utilisation;Remarques ou alternatives;"Changement 
de statut";Statut M365;;;
;ONE CALENDAR;?;USA – Washington -  Microsoft Corporation;"Recueille les informations anonymes sur les erreurs, les exceptions et les plantages d'applications et sur la façon dont son utilisées les applications (données supprimées après 2 mois).

Nous ne stockons pas vos rendez-vous personnels ou des informations d'anniversaire sur notre serveur(s). Toute synchronisation des données personnelles se fait directement entre votre appareil et fournisseur de calendrier en ligne.";One Calendar peut être configuré pour utiliser des services en ligne. Les CGU de ces services s'apppliquent.;;;;;;
;ORTHOHPHORE;V (sous conditions);Pologne - Varsovie;"Données élèves : nom et prénom (accessible uniquement à l'enseignant et à l'élève)

Mots écrits par l'élève dans les dictées. Permet de visualiser la progression des élèves. Ces données ne sont pas rendues publiques.";Données conservées durant 2 mois, elles ne sont pas partagées.;Utiliser des pseudos pour les élèves.;;n'existe pas;;;
;PADLET;O;USA - Californie ;"À la connexion :  nom,  adresse e-mail,  préférences linguistiques et  photo de profil 

Durant l’utilisation :  infos liées à l'appareil, infos sur l'utilisateur, y compris personnelles, et sur la manière dont il utilise le service 


";"Pas pour les moins de 13 ans sans supervision/accord parental 

Les padlets publics donnent à  Padlet le droit de voir, de partager et de promouvoir le contenu qu’ils contiennent.  

Données transmises à des services tiers.";"Création de compte réservée aux enseignants. 

L’enseignant crée un pad auquel les élèves accèdent sans se connecter ni s’identifier. 

ATTENTION ces publications ne doivent pas permettre d'identifier les élèves : Pas de nom, pas de pseudo, pas d'image représentant l'élève, pas d'enregistrement de la voix de l'élève. 

Pour une utilisation par les élèves, privilégier Digipad mais éviter de partager des données personnelles.";;Accès pour personnel scolaire;;;
;PCLOUD;V;Suisse, serveurs au Luxembourg;;;;;autorisé;;;
;PDF EXPERT;V;"USA- Washington – 
Amazon.com Inc ";"De manière générale, ne collecte pas les fichiers.

En cas de conversion de fichier, les données sont conservées jusqu’à 3h sur les serveurs. ";;Par précaution, ne pas utiliser avec des documents contenant des données personnelles, sensibles ou confidentielles. ;;autorisé;;;
;PHONOWRITER;V;;;;Application installée en local, pas d'enregistrement des données;;n'existe pas;;;
;PHOTOPEA;O;;"Utilisation en mode ""local uniquement"" possible. 

En cas de connexion, récupère : nom, adresse e-mail, copie de l’enregistrement. ";"Les fichiers ouverts dans Photopea ne sont jamais envoyés nulle part, ils ne quittent jamais l'appareil. Ils sont traités entièrement à l'intérieur de l'appareil.

Les données enregistrées en ligne peuvent être partagées avec des services tiers et stockées partout dans le monde.";Utiliser uniquement en mode local. ;;Accès pour personnel scolaire;;;
;PHYPHOX;V;Allemagne - Nordrhein Westphalen - RWTH Aachen University;"Ne collecte pas explicitement de données personnelles : conçu pour collecter des données de mesure sans lien avec les individus. Cependant, dans certaines circonstances, ces données peuvent être liées à des données personnelles (GPS par exemple). 

Toutes les données mesurées ne sont stockées que sur l'appareil exécutant l'application et ne sont envoyées nulle part, sauf si l'utilisateur transmet volontairement les données lui-même (fonction d'exportation) ou s'il utilise une configuration d'expérience qui inclut la transmission de donnée.";"Si une expérimentation ou l'usage d'un outil proposé par l'application implique un transfer de données vers un tiers, l'application le signale. L'utilisateur peut alors choisir en connaissance de cause s'il souhaite utiliser cette fonction. Les données sont alors rendues anonymes.

Les données seront supprimées dès qu'elles ne sont plus nécessaires pour atteindre l'objectif de leur collecte, au plus tard 90 jours après la collecte.";Application similaire, gratuite et sans récolte de données : Fizziq;;n'existe pas;;;
;PIXTON;O;USA - Massachusetts ;"Inscription prof : nom, adresse e-mail, préférences linguistiques et photo de profil   

Inscription élève : adresse e-mail ";"RGPD EU

Accord parental nécessaire en-dessous de 13 ans pour les comptes non reliés à un enseignant. 

Une fois un compte supprimé, les données sont effacées après 60 jours. ";"Attention à ne pas intégrer de données personnelles ou sensibles dans les bandes dessinées. 

Pour inscrire les élèves, ne pas utiliser l’adresse e-mail. L’enseigant crée un pseudo pour chaque élève de la classe. ";;Accès pour personnel scolaire;;;
;PLANDECLASSE.CA;O;Canada - Québec ;"nom, adresse e-mail, préférences linguistiques et votre photo de profil   

 Pas de politique de confidentialité sur le site. ";Pas de CGU;"Ne pas déposer de photos d’élèves. 

Utiliser uniquement les prénoms. 

Ne pas donner le nom réel de la classe ou de l’école. ";;Accès pour personnel scolaire;;;
;PLICKERS;O;USA – Amazon.com Inc. ;"Nom, adresse e-mail, préférences linguistiques et photo de profil  

Adresse IP, navigateur, heure et date de connexion, localisation, système d’exploitation, type, marque et modèle d’appareil
 
Lorsque les élèves utilisent des cartes Plickers : Récoltes des réponses aux QCM 

Les images sont supprimées immédiatement (pas de collecte ou stockage) ";"DPF Suisse-États-Unis 

Plickers conservera les informations personnelles des enseignants et des élèves pendant une période limitée, mais pas plus de 120 jours ";"Création de compte réservée aux enseignants. 

Les élèves se connectent uniquement via les cartes (QR code) mais l’enseignant y associe un pseudo au préalable. ";;n'existe pas;;;
;PREZI;R;USA – Washington – Amazon.com Inc ;"Nom, adresse e-mail, préférences linguistiques et photo de profil  

Infos sur l’appareil, le navigateur, adresse IP... 

Pour Prezi, tout ce qui se trouve dans une présentation publique est considéré comme public et peut être collecté. ";"Entre 13 et 18 ans, l’accord parental est requis. 

Les publicités présentées aux autres utilisateurs peuvent faire référence aux informations que vous fournissez. Des informations personnelles peuvent donc être transmises à des inconnus !

Le contenu supprimé est conservé par Prezi. Comme le contenu actif, il peut être vendu à des tiers pour une utilisation commerciale.

Prezi peut transmettre vos informations personnelles sans vous en informer. 

En licence Free, tous les projets sont publics et indexés par les moteurs de recherche. La gestion de la confidentialité est une option payante.";;à bloquer;;;;
;PROJET VOLTAIRE;V (sous conditions);France;"Version gratuite : email et mot de passe.

Version payante : données de facturation";"Données transmises à aucun tiers.

Collecte des informations quand :

vous créez votre compte Projet Voltaire ;
vous effectuez une commande sur notre site ;
vous répondez à une enquête sur notre site ;
vous participez à un jeu ou un concours ;
vous prenez contact avec notre Service clientèle ;
vous rédigez un commentaire.";Ne pas fournir de données d'élèves. Se désabonner de la newsletter et ne participer à aucune enquête en ligne.;;n'existe pas;;;
;QUIZLET;O ;;"e-mail, date de naissance 

Collecte: 
Renseignements sur l’appareil 
le type de navigateur; 
la préférence linguistique et le fuseau horaire; 
le site référant, ainsi que la date et l’heure de chaque visite; 
les informations de connexion comme le fournisseur de services Internet ou l'opérateur mobile; 
l'adresse IP; 
les heures de connexion et de déconnexion. ";"
 
Consentement parental requis pour les moins de 13 ans. 

Quizlet peut utiliser les informations personnelles pour commercialiser le Service.  

Concernant les enfants : peut utiliser des renseignements agrégés ou anonymes sur les enfants à des fins de recherche, d'analyse, de marketing et à d'autres fins commerciales. Pour créer un compte enfant, Quizlet recueille la date de naissance de l’utilisateur, son nom d’utilisateur, son adresse électronique et son mot de passe. 

Quizlet conserve vos informations personnelles aussi longtemps que votre compte est actif";" 

Comptes enseignant uniquement.

card2brain.ch est une alternative validée (sur le navigateur Educa). Il n’y a toutefois aucune activité ludique proposée sur cette plateforme. 

 

Digiflascard ? Moins de jeux que Quizlet 
Flascards de Quizizz ? Sans création de compte élève.";;n'existe pas;;;
;REMARKABLE INTEGRATION ONEDRIVE;O ;USA- Californie - Versel Inc;;"Si vous supprimez votre Compte ReMarkable pour quelque raison que ce soit, tout Contenu stocké sur nos serveurs sera également supprimé, mais veuillez noter que le contenu peut être stocké dans des sauvegardes d'infrastructure IT pendant 3 mois maximum.

Si vos notes contiennent des informations personnelles sur d'autres personnes, vous devez vous assurer qu'il est licite pour vous de collecter, stocker et utiliser ces informations";Attention à ne pas prendre de notes ni charger de fichiers contenant des données sensibles ou personnelles.;;Accès pour personnel scolaire;;;
;SAMSUNG EMAIL;O;;Impossible d'avoir accès à une politique de confidentialité liée spécifiquement à cette application. (26.11.24);;;;autorisé;;;
;SAMSUNG NOTES;O ;;Même commentaire que pour Samsung Email;;;; autorisé;;;
;SCHOLARVOX;O ;"France - Nouvelle Aquitaine
 - Kardol SA";"Nom, prénom, e-mail 

Collecte les recherches effectuées au sein du site, les lectures effectuées, la composition des étagères enregistrées dans le Site, les annotations des livres, les commentaires apposés aux livres. ";Le consentement des mineurs de moins de 16 ans doit être donné par le titulaire de l'autorité parentale. Lorsque vous avez donné votre consentement alors que vous étiez mineurs, les données personnelles vous concernant ont été collectées ;"Usage enseignant uniquement.

L’utilisation d’une adresse privée est recommandée. En cas de suppression de l’adresse edu.jura, l’utilisateur ne pouvant plus se connecter à Scholarvox n’a plus accès au contenu acheté sur la plateforme. ";;Accès pour personnel scolaire;;;
;SCHOOL AI;O ;USA - Washington- Amazon.com Inc;"Enseignant: Nom, adresse e-mail, mot de passe, nom de l'établissement, rôle dans l'école

Élève: peut inclure nom, notes et données de performance liées à l'école.

Données techniques : navigateur, adresse IP, appareil et système d'exploitation";"Pas pour les moins de 13 ans sans consentement des parents.

Ne vend ni ne loue d'informations personnelles à des tiers. Peut transférer les informations personnelles dans le cadre d'une fusion ou vente de l'entreprise.

Les données élèves sont anonymisées si elles sont envoyées à des tiers.

SchoolAI s'associe à certains fournisseurs tiers, notamment Amazon AWS, ElephantSQL et OpenAI, pour améliorer ses offres de services et son infrastructure. Ces fournisseurs reçoivent des informations personnelles";"Usage enseignant uniquement. 

Ne pas intégrer de données personnelles.";"à autoriser pour 
enseignants 
uniquement";;;;
;SMART TECH : LUMIO;O;USA ou Allemagne ;"Nom, adresse e-mail, préférences linguistiques et photo de profil 

Très complexe de s’y retrouver car Smart tech propose toutes sortes de produits, allant du matériel aux logiciels en passant par des applications. ";;Avec Lumio, les élèves rejoignent les activités de manière anonyme uniquement (avec un pseudo), pas de création de compte élève. ;;n'existe pas;;;
;SODA PDF;O ;USA - Californie - Cloudflare Inc;Utilisation en ligne avec connexion : nom, adresse e-mail, préférences linguistiques et photo de profil ;"Pas conçu pour des utilisateurs de moins de 16 ans.

Dans le cloud : Soda PDF ne conserve pas votre contenu mais la plateforme recommande de ne pas diffuser de données personnelles.

Mode local : En règle générale, votre contenu est conservé sur votre stockage local.  ";"Utiliser une version installée en local uniquement. 

Ne pas utiliser les outils en ligne pour modifier des fichiers contenant des données personnelles, sensibles ou confidentielles.

Attention aussi aux outils d'intelligence artificielle, qui ne doivent pas être utilisés sur ce type de documents.

";;Accès pour personnel scolaire;;;
;SOUNDTRAP EDUCATION;R;USA - Missouri - Google LLC;"Version EDUCATION : via Microsoft, nom, informations de profil et adresse électronique des élèves

Récolte la date et l'heure de toute demande faite par les élèves, les sons que les élèves ont diffusés, enregistrés, téléchargés, les interactions avec d'autres élèves

informations sur l'URL, adresse IP, types d'appareils utilisés, identifiants uniques des appareils, attributs des appareils, fournisseur de connexion réseau, performances du réseau et de l'appareil, type de navigateur, langue, système d'exploitation";"Peut transférer des informations personnelles à toute personne ou société qui acquiert la totalité ou la quasi-totalité des actifs ou des activités de Soundtrap.

Si l'école de l'élève l'autorise : 1) toute information personnelle contenue dans le profil public d'un élève (autre que l'adresse électronique) sera accessible à d'autres utilisateurs de Soundtrap, qui pourront consulter leur profil, écouter et commenter leurs sons publics, s'ajouter à leur liste de suiveurs et leur envoyer des messages ; 2) le fait qu'un élève ait écouté les sons d'un utilisateur privilégié sera partagé avec cet utilisateur privilégié, afin que ce dernier puisse suivre la popularité de ses sons ; et 3) les commentaires des élèves seront accessibles à tous les utilisateurs de Soundtrap.";;;Bloqué;;;
;SPARK;R;USA – Washington – Amazon.com Inc ;"Selon les outils utilisés (IA notamment), l’application traite le contenu des e-mails rédigés ! 

 Elle traite aussi les e-mails partagés, certains contacts... ";Usage interdit aux moins de 18 ans.;;;Bloqué;;;
;SUNO.AI;R;;Nom, adresse e-mail, préférences linguistiques et photo de profil ;"Les données contenues dans les enregistrements sont récoltées par le site. 

";;;Bloqué;;;
;TAPTOUCHE;V;;;;Contrat particulier;;;;;
;TEAMVIEWER;;;;;;;;;;
;THREEMA EDUCATION;V;Suisse;;;Validé par le navigateur EDUCA;;n'existe pas;;;
;THUNDERBIRD;V;"USA – Californie –
 Cloudflare Inc ";"Thunderbird collecte le domaine de messagerie et d'autres données techniques pour configurer et configurer le compte de messagerie. Nom, messages électroniques et carnet d'adresses sont stockés localement sur l'appareil et ne lui sont pas envoyées. 

Ne stocke pas votre contenu à partir de l'intégration d'Apple Calendar, Google Calendar ou Microsoft 365 avec Thunderbird. Ces informations restent sur l'appareil. ";;;;autorisé;;;
;TRIMBLE INC.;O ;USA - Washington- Amazon.com Inc;"Traite : nom, coordonnées, 
données de l'entreprise (nom, taille, emplacement ), ID d'employé, âge, sexe, niveau d'éducation, profession,
adresse IP et emplacement géographique
Informations visuelles et audio, telles que votre image et des informations sur les produits de travail
Informations sur un appareil que vous utilisez (navigateur, type d'appareil, système d'exploitation, présence ou utilisation d'applications,  résolution d'écran et langue préférée
Données relatives à votre utilisation et à votre interaction avec les sites, telles que les publicités cliquées ou consultées, les sites et les zones de contenu, la date et l'heure des activités ou la recherche Web utilisée pour localiser et naviguer vers un site.";"Nous pouvons transférer vos données personnelles à des sociétés de notre groupe et à des tiers (par exemple, partenaires commerciaux, revendeurs), des entités acquérantes ou acquises, des fournisseurs de services et, conformément à la loi applicable, des autorités gouvernementales, des tribunaux, des conseillers externes et des tiers similaires. Certains transferts de données peuvent franchir les frontières nationales.



Les étudiants qui utilisent les produits doivent être âgés de 14 ans minimum. Dans ce cas, les données sont collectées mais ne sont pas utilisées à des fins marketing.";;;;;;
;VOKAPI (app);O;Irlande;Eleve (qui est le public cible) : adresse e-mail, pseudo et année scolaire, progrès et résultats de jeu;"Consentement des parents nécessaires pour les élèves de moins de 18 ans.

Toutes les données sont supprimées à la suppression du compte.";Veiller à ce que l'élève n'utilise pas son mot de passe edu pour s'inscrire. ;;n'existe pas;;;
;WAKELET;O;USA – Californie – Amazon.com, Inc ;"Nom, adresse e-mail, préférences linguistiques et photo de profil   

Infos de trafic, localisation, journal, infos techniques liées à l’appareil et au navigateur, cookies ";Utilisation pour les moins de 13 ans interdite par la plateforme sans un compte Education. Autorisation des parents nécessaire. ;"Comme Padlet, création de compteautorisée aux enseignants uniquement. 

Alternatives : voir Padlet. ";;Accès pour personnel scolaire;;;
;WAYGROUND (anc. QUIZIZZ);O;USA - Californie ;"Nom, adresse e-mail, préférences linguistiques et photo de profil 

N'exige pas que les étudiants soumettent leur nom ou leurs coordonnées, ni qu'ils créent des comptes. Pour créer un compte élève : adresse e-mail, nom/prénom ou pseudo.

Collecte : Modèle de périphérique, système d'exploitation les identifiants de périphérique tels que IDFA et UDID et les informations réseau.
Informations de journal : comment et quand vous utilisez le service ainsi que votre type de navigateur, votre langue préférée, votre fuseau horaire, le site référent, les heures de connexion et de déconnexion, et adresse du protocole Internet (IP). ";"Les profils et les activités des étudiants au sein de l'application et du service restent privés. Néanmoins Wayground récolte la progression et les résultats des élèves qui possèdent un compte.

Ne vend pas les données mais les utilise pour faire de la publicité et les partage à des tiers.

";"Privilégier une utilisation par l'enseignant sans créer de compte 
élèves  .

Attention avec les fichiers déposés dans les outils IA.";;Accès pour personnel scolaire;;;
;WOOCLAP;O;USA – Washington -  Amazon.com, Inc. ;"Inscription : Prénom, Nom de famille, Adresse e-mail, Domaine (éducation, entreprise, agence événementielle), Nom de l’Organisation/Université, Que vous soyez étudiant ou enseignant,
Pays, Langue 

Pour les enfants (= moins de 16 ans), traite :
Données personnelles. Par exemple, nom et  adresse email. 
Attributs, comme le pays et la langue. 
Données de participation : par exemple les réponses sur Wooclap et les résultats aux questions notées. ";"RGPD EU 

En cas de simple participation à un jeu (événement) : utilisation d’un pseudo, pas de données collectées excepté les résultats 

Les applications ne peuvent en général pas être utilisées par des enfants de moins de 13 ans sans le consentement de leurs parents et/ou de leurs représentants légaux, à moins qu’une telle utilisation ne soit introduite dans un contexte éducatif ou récréatif sous la direction du personnel enseignant  ";"Création de comptes enseignants uniquement. 

 
Pour les participations d’élèves aux événements, utiliser des pseudos. ";;Accès pour personnel scolaire;;;
;WOOFLASH;V;Belgique;;Autorisation parentale requise.;Autorisé pour gérer des donnés personnelles d'élèves d'après le navigateur EDUCA.;;n'existe pas;;;
;WORDWALL;O;Ontario - Canada;"nom, prénom, adresse e-mail, rôle dans l'école

Les comptes inactifs sont supprimés après 7 ans d'inactivité.";"Pas destiné aux moins de 13 ans.

Attention : en mode d'assignation de ""devoirs"", les noms, scores et réponses des élèves sont collectées. Privilégier un usage sans inscription et sans assignation aux élèves.";Création de comptes enseignants uniquement. ;;n'existe pas;;;
;ZAPIER Et ZAPIER OUTLOOK;?;Californie - USA;"A l’inscription :  nom, adresse e-mail, société et informations similaires 

Recueille également :
Contenu ou informations que vous fournissez dans les Services 
Contenu que vous fournissez par le biais de notre site 
Informations sur le traitement des paiements 
Informations techniques, relatives à l’appareil et à la connexion ";"Cadre de protection des données Suisse-États-Unis 

Les Services vous permettent de créer des connexions ou des intégrations entre les applications tierces que vous utilisez. Lorsque vous utilisez les Services, des informations ou du contenu sont transférés d’une application à une autre.  

Lorsque vous intégrez nos Services à une application tierce, les informations que nous recevons dépendent des paramètres, des autorisations et de la Déclaration de confidentialité contrôlés par cette application tierce. ";;;;;;
