;Plateforme;Proposition de feu signalétique;Localisation;"
Données recueillies et 
Politique de confidentialité 
";Conditions d'utilisation;Remarques ou alternatives;"Changement 
de statut";Statut M365;;;
;CAPCUT;R;USA - Californie - Akamai Technologies Inc.;"A l'inscription : date de naissance, votre adresse e-mail et le mot de passe

Récolte : adresse IP, identifiants de périphérique, identifiants publicitaires, type de réseau et connexions, modèle de téléphone mobile ou de périphérique, fabricant de l'appareil, codes d'appel de pays, numéro de version de l'application, noms et types d'applications et de fichiers, système d'exploitation, résolution de l'appareil, langue et région du système et informations sur la batterie

Emplacement approximatif, région de la carte SIM 
";"Peut collecter le contenu que vous créez ou téléchargez y compris les photographies, images, enregistrements audio et vidéos, modèles vidéo que vous générez ou visualisez, commentaires que vous faites et  contenu de like, y compris les métadonnées associées (telles que quand, où et par qui le contenu a été créé).

Recueille même des informations, y compris du texte, des images et des vidéos, trouvées dans le presse-papiers de votre appareil.

Nous pouvons également collecter des informations vous concernant lorsque vous choisissez d'utiliser les Services sans créer de compte.

Peut collecter des informations sur les vidéos, images et audio qui font partie de votre Contenu Utilisateur, telles que l'identification des objets et des paysages qui apparaissent, l'existence et l'emplacement dans une image ou une vidéo des caractéristiques et attributs du visage et du corps, la nature de l'audio et le texte des mots prononcé

Peut partager des informations collectées via l'utilisation des Services (telles que les vues, l'engagement et les clics) avec des partenaires de mesure et de publicité.";Usage déconseillé, même sans création de compte.;;N'existe pas;;;
;CARD2BRAIN;O ;;;PASSER PAR EDULOG;"Login via EDULOG. 
Recommandations à voir dans le navigateur EDUCA.";;bloqué;;;
;CLARO SPEAK PLUS iOS et CLARO PDF PRO iOS ;V;;L’application déclare ne recueillir aucune donnée. La page de la déclaration de confidentialité était cependant indisponible au moment où j’ai voulu la consulter (31.08) ;;Application recommandée dans le cadre du CAS CNE.;;autorisé;;;
;CLASSCRAFT;R;USA – Californie – Cloudflare Inc ;"Via Microsoft : nom, adresse e-mail, préférences linguistiques et photo de profil  

 
La création d’un compte élève induit celle d’un compte parent, qui peut voir les activités de l’enfant et les activités de classe. ";"RGPD EU 

Par le biais de ce site, l’enseigant peut : 
Créer des exercices gamifiés 
Attribuer des points de comportement ou en retirer 
Utiliser des outils de gestion de classe 

 Les données élèves sont supprimées après un an sans activité. Les données enseignant après 2 ans. ";Le comportement en classe et la discipline sont des données sensibles.;;Bloqué;;;
;CLASSROOMSCREEN;O;USA – Californie – Cloudflare Inc ;"Via Microsoft : nom, adresse e-mail 


Sans compte : recueille des données sur la visite et le comportement de navigation, l'adresse IP, le navigateur, la date et l’heure, etc. ";"Abo payant basique : traite nom, prénom, mail, mot de passe 

 
Abo Pro : traite les infos de facturation, les images que vous téléchargez, les données que vous saisissez et enregistrez ";"Privilégier une utilisation sans créer de compte. 

 En cas de création de compte, veiller à ne pas fournir d’informations personnelles au sujet des élèves.  ";;Accès pour personnel scolaire;;;
;CLASSTIME;V;Suisse ;"Connexion possible via Edulog ou Microsoft

Intégration possible dans Teams";Contrat avec EDUCA;;à autoriser;;;;
;CODE.ORG;V;USA – Californie – Amazon.com Inc. ;"Nom, adresse e-mail, préférences linguistiques et photo de profil 

Heure de connexion, adresse IP et autres données techniques 

Création de compte élève : nom d’utilisateur, adresse e-mail (ne conserve pas les adresses e-mail des élèves), âge (mais pas la date de naissance). ";"RGPD EU 

Organisation caritative à but non lucratif 

Ne conserve pas les adresses e-mail des élèves ";"L’enseignant est responsable de créer des comptes élèves anonymisés. C’est lui crée les profils de la classe. 

Certaines activités du site ne nécessitent pas de création de compte élèves. Les progrès ne sont en revanche pas enregistrés sans création de compte.";;autorisé;;;
;DICTALY;O ;FR;"adresse email et pseudo
date et heure de connexion
messages échangés entre joueurs
scores aux dictées
infos sur l'appareil et l'équipement";"RGPD, ne vend pas les données

données conservées 3 ans maximum après la dernière connexion";Attention à bien encadrer l'utilisation car la création de compte permet l'envoi de messages entre utilisateurs.;;n'existe pas;;;
;DOODLE;O;USA - Californie - Cloudflare Inc;"Via Microsoft : nom, adresse e-mail, préférences linguistiques et photo de profil  

Nom, adresse e-mail ou informations sur votre rendez-vous, données de journal : utilisation interne à des fins d'analyse. D'autres sociétés peuvent y accéder pour effectuer des tâches.

Certaines données personnelles peuvent être conservées après la fin de la période de conservation ou après une demande d'effacement. Doodle peut communiquer les données personnelles sans en informer les utilisateurs.";"Le service n'est pas destiné aux mineurs. 

Doodle peut transférer vos informations personnelles à des sous-traitants secondaires situés en dehors de votre pays. Si le niveau de protection des données dans un pays ne correspond pas au niveau suisse, Doodle s'assure contractuellement que la protection de vos données personnelles est toujours équivalente à celle de la Suisse

FADP s'applique en principe au traitement de vos données personnelles

Si un sondage est supprimé, les informations sont supprimées des bases de données Doodle, mais elles peuvent être archivées sous une autre forme à des fins d'analyse interne. Les données du journal ne sont pas supprimées. De plus, les sondages périmés sont automatiquement supprimés au plus tôt 30 jours après la dernière date du vote ou 30 jours après le dernier accès à un vote sans date.";Veiller à ne pas mentionner de données personnelles dans un Doodle : pas de nom, prénom, situation d'élève par exemple.;;Accès pour personnel scolaire;;;
;DRIVE INFOMANIAK;V;;;;;;autorisé;;;
